pair_id,sample_idx,pair_split,positive_stream,negative_stream,positive_energy_per_atom,negative_energy_per_atom,energy_gap_eV_per_atom,eligible_streams
energy-pair-0046,46,train,2,1,-5.240519046783447,-5.134603500366211,0.10591554641723633,8
energy-pair-0052,52,train,2,3,-5.3351335525512695,-5.250585556030273,0.0845479965209961,8
energy-pair-0056,56,validation,2,5,-3.5249109268188477,-3.4002299308776855,0.12468099594116211,8
energy-pair-0057,57,train,6,0,-5.085549831390381,-4.870111465454102,0.2154383659362793,8
energy-pair-0065,65,train,2,0,-7.500060081481934,-7.409647464752197,0.09041261672973633,8
energy-pair-0066,66,train,2,5,-4.763976097106934,-4.575686454772949,0.18828964233398438,8
energy-pair-0067,67,validation,1,2,-8.244586944580078,-8.11407470703125,0.13051223754882812,8
energy-pair-0069,69,train,5,2,-6.6807684898376465,-6.595417499542236,0.08535099029541016,8
energy-pair-0071,71,train,5,2,-5.8765082359313965,-5.797333717346191,0.07917451858520508,8
energy-pair-0072,72,validation,4,6,-8.91010570526123,-6.52358341217041,2.3865222930908203,8
energy-pair-0073,73,train,2,6,-5.055825710296631,-4.927379608154297,0.12844610214233398,8
energy-pair-0075,75,train,4,5,-7.672972679138184,-7.534715175628662,0.13825750350952148,8
energy-pair-0076,76,validation,7,0,-10.957334518432617,-10.791923522949219,0.16541099548339844,8
energy-pair-0077,77,train,5,7,-8.463027000427246,-8.345964431762695,0.11706256866455078,8
energy-pair-0078,78,train,3,1,-6.923951625823975,-4.613666534423828,2.3102850914001465,7
energy-pair-0079,79,train,3,5,-5.207791328430176,-5.119419574737549,0.08837175369262695,8
energy-pair-0083,83,train,7,2,-4.467150688171387,-4.307839870452881,0.15931081771850586,8
energy-pair-0085,85,validation,3,2,-6.186779499053955,-6.103573322296143,0.0832061767578125,8
energy-pair-0087,87,train,0,3,-6.030942440032959,-5.884570598602295,0.14637184143066406,8
energy-pair-0093,93,train,0,7,-6.297900199890137,-6.019189834594727,0.27871036529541016,8
energy-pair-0094,94,train,0,6,-9.577122688293457,-9.425010681152344,0.15211200714111328,8
energy-pair-0096,96,train,5,2,-5.822125434875488,-5.650306224822998,0.17181921005249023,8
energy-pair-0097,97,validation,6,1,-9.345796585083008,-9.200511932373047,0.14528465270996094,8
energy-pair-0101,101,train,3,6,-8.352620124816895,-7.975053787231445,0.3775663375854492,8
energy-pair-0102,102,train,7,0,-9.745041847229004,-9.66450023651123,0.08054161071777344,8
energy-pair-0103,103,train,1,4,-6.20211935043335,-6.007599353790283,0.1945199966430664,8
energy-pair-0108,108,train,6,0,-4.704396724700928,-4.640057563781738,0.06433916091918945,8
energy-pair-0109,109,train,0,5,-5.6757588386535645,-5.605409145355225,0.07034969329833984,8
energy-pair-0110,110,train,2,3,-7.350827217102051,-7.271109580993652,0.07971763610839844,8
energy-pair-0111,111,train,6,3,-4.3969950675964355,-4.329475402832031,0.0675196647644043,7
energy-pair-0112,112,validation,0,5,-6.04940128326416,-5.973382472991943,0.0760188102722168,8
energy-pair-0115,115,train,6,7,-8.712878227233887,-8.558225631713867,0.15465259552001953,8
energy-pair-0117,117,train,4,1,-9.228572845458984,-9.128849029541016,0.09972381591796875,8
energy-pair-0120,120,train,3,0,-6.840461730957031,-6.578311920166016,0.2621498107910156,8
energy-pair-0123,123,train,5,0,-6.517536163330078,-6.280453681945801,0.23708248138427734,8
energy-pair-0125,125,validation,1,2,-5.110816955566406,-4.9810919761657715,0.12972497940063477,8
energy-pair-0127,127,train,5,7,-3.2826755046844482,-3.1392822265625,0.14339327812194824,8
energy-pair-0128,128,validation,1,4,-9.80478286743164,-9.575296401977539,0.22948646545410156,8
energy-pair-0131,131,train,1,4,-5.255661964416504,-5.149281024932861,0.10638093948364258,8
energy-pair-0133,133,train,1,6,-8.408799171447754,-8.306925773620605,0.10187339782714844,8
energy-pair-0136,136,train,2,6,-9.154370307922363,-9.071695327758789,0.08267498016357422,8
energy-pair-0141,141,validation,1,4,-5.33612585067749,-5.142814636230469,0.19331121444702148,8
energy-pair-0142,142,train,1,3,-8.028908729553223,-7.900688648223877,0.1282200813293457,8
energy-pair-0143,143,validation,2,5,-8.082175254821777,-7.854794979095459,0.22738027572631836,8
energy-pair-0144,144,train,5,6,-5.983892917633057,-4.501606464385986,1.4822864532470703,8
energy-pair-0146,146,train,7,2,-7.362322807312012,-7.265576362609863,0.09674644470214844,8
energy-pair-0148,148,train,0,1,-5.271578311920166,-5.16859245300293,0.10298585891723633,8
energy-pair-0151,151,train,2,4,-3.3167262077331543,-3.2380428314208984,0.07868337631225586,8
energy-pair-0154,154,train,4,2,-6.5107550621032715,-6.356544494628906,0.15421056747436523,8
energy-pair-0156,156,train,5,6,-7.543337821960449,-7.324036121368408,0.21930170059204102,8
energy-pair-0166,166,train,3,7,-5.083122730255127,-4.830188751220703,0.25293397903442383,8
energy-pair-0167,167,train,4,2,-5.390435218811035,-5.310455799102783,0.07997941970825195,8
energy-pair-0168,168,train,0,7,-4.564784526824951,-4.482516288757324,0.08226823806762695,8
energy-pair-0170,170,validation,2,1,-2.685377359390259,-2.5731968879699707,0.11218047142028809,8
energy-pair-0171,171,train,7,6,-4.651091575622559,-4.5742716789245605,0.07681989669799805,8
energy-pair-0173,173,train,2,1,-4.946964263916016,-4.818116188049316,0.12884807586669922,8
energy-pair-0174,174,train,3,5,-7.60329008102417,-7.439760684967041,0.1635293960571289,6
energy-pair-0176,176,validation,2,0,-7.108908653259277,-6.957462787628174,0.15144586563110352,8
energy-pair-0177,177,train,1,0,-4.598445415496826,-4.446069717407227,0.1523756980895996,8
energy-pair-0179,179,train,2,5,-3.937617063522339,-3.831817150115967,0.10579991340637207,8
energy-pair-0181,181,validation,3,6,-7.311155319213867,-7.192234039306641,0.11892127990722656,8
energy-pair-0182,182,train,5,7,-6.119848728179932,-5.957603931427002,0.1622447967529297,8
energy-pair-0183,183,train,5,0,-4.72988748550415,-4.589354515075684,0.1405329704284668,8
energy-pair-0187,187,train,5,7,-5.724649906158447,-5.573558330535889,0.1510915756225586,8
energy-pair-0188,188,validation,4,6,-7.5809221267700195,-7.469112873077393,0.11180925369262695,8
energy-pair-0190,190,validation,5,1,-5.15765380859375,-5.009889125823975,0.1477646827697754,8
energy-pair-0194,194,train,7,2,-6.701744079589844,-6.609657287597656,0.0920867919921875,8
energy-pair-0197,197,train,2,0,-6.809110164642334,-6.497589111328125,0.311521053314209,8
energy-pair-0198,198,train,1,3,-5.225502967834473,-5.156531810760498,0.06897115707397461,8
energy-pair-0202,202,train,1,3,-3.3448989391326904,-3.2610840797424316,0.08381485939025879,8
energy-pair-0205,205,train,7,4,-6.1827898025512695,-5.983429431915283,0.19936037063598633,8
energy-pair-0207,207,train,0,6,-7.554405689239502,-7.238009929656982,0.31639575958251953,8
energy-pair-0208,208,validation,4,5,-6.439544200897217,-6.32397985458374,0.11556434631347656,8
energy-pair-0209,209,validation,3,0,-5.662792205810547,-5.601149559020996,0.06164264678955078,8
energy-pair-0211,211,train,6,3,-4.128996849060059,-4.060678482055664,0.06831836700439453,8
energy-pair-0212,212,train,5,1,-5.102097511291504,-5.039010047912598,0.06308746337890625,7
energy-pair-0214,214,train,0,7,-7.503551006317139,-7.380399227142334,0.12315177917480469,8
energy-pair-0215,215,train,3,1,-3.0166285037994385,-2.917398452758789,0.09923005104064941,8
energy-pair-0218,218,train,6,7,-4.80689001083374,-4.680656909942627,0.12623310089111328,8
energy-pair-0221,221,validation,5,7,-7.873558044433594,-7.731246471405029,0.14231157302856445,8
energy-pair-0222,222,train,1,4,-4.722512245178223,-4.635904788970947,0.08660745620727539,8
energy-pair-0226,226,train,3,1,-7.401218414306641,-7.302992820739746,0.09822559356689453,8
energy-pair-0227,227,validation,3,5,-4.969562530517578,-4.743259429931641,0.2263031005859375,8
energy-pair-0228,228,train,6,0,-6.971317291259766,-6.878586292266846,0.09273099899291992,8
energy-pair-0229,229,train,5,4,-5.279626846313477,-5.196269989013672,0.08335685729980469,8
energy-pair-0232,232,train,4,6,-6.028128147125244,-5.82170295715332,0.20642518997192383,8
energy-pair-0235,235,validation,1,3,-7.002309799194336,-6.831666469573975,0.17064332962036133,8
energy-pair-0236,236,train,2,6,-7.576790809631348,-7.476373195648193,0.1004176139831543,7
energy-pair-0238,238,train,4,7,-6.672028541564941,-6.593737602233887,0.07829093933105469,8
energy-pair-0241,241,train,5,4,-5.935877323150635,-5.56847620010376,0.367401123046875,8
energy-pair-0245,245,train,0,5,-8.555708885192871,-8.485536575317383,0.07017230987548828,8
energy-pair-0248,248,train,6,3,-8.901459693908691,-8.8036470413208,0.09781265258789062,8
energy-pair-0249,249,train,5,1,-5.709400653839111,-5.619417190551758,0.08998346328735352,8
energy-pair-0250,250,train,3,6,-6.451934337615967,-6.368497848510742,0.08343648910522461,8
energy-pair-0251,251,train,3,6,-5.612241744995117,-5.416471481323242,0.195770263671875,8
energy-pair-0252,252,validation,3,5,-8.96272087097168,-8.833625793457031,0.12909507751464844,8
energy-pair-0253,253,train,5,7,-5.2752461433410645,-5.169561386108398,0.10568475723266602,8
