pair_id,sample_idx,pair_split,positive_stream,negative_stream,positive_energy_per_atom,negative_energy_per_atom,energy_gap_eV_per_atom,eligible_streams
energy-pair-0207,207,train,0,1,-7.554405689239502,-7.4640326499938965,0.09037303924560547,4
energy-pair-0209,209,validation,3,0,-5.662792205810547,-5.601149559020996,0.06164264678955078,4
energy-pair-0211,211,train,2,3,-4.121184825897217,-4.060678482055664,0.060506343841552734,4
energy-pair-0212,212,train,2,1,-5.101818561553955,-5.039010047912598,0.06280851364135742,4
energy-pair-0214,214,train,0,1,-7.503551006317139,-7.399321556091309,0.10422945022583008,4
energy-pair-0215,215,train,3,1,-3.0166285037994385,-2.917398452758789,0.09923005104064941,4
energy-pair-0221,221,validation,0,2,-7.8726806640625,-7.744149208068848,0.12853145599365234,4
energy-pair-0222,222,train,1,2,-4.722512245178223,-4.639044761657715,0.08346748352050781,4
energy-pair-0226,226,train,3,1,-7.401218414306641,-7.302992820739746,0.09822559356689453,4
energy-pair-0232,232,train,1,0,-5.9952545166015625,-5.902159690856934,0.0930948257446289,4
energy-pair-0235,235,validation,1,3,-7.002309799194336,-6.831666469573975,0.17064332962036133,4
energy-pair-0241,241,train,0,3,-5.832068920135498,-5.690725803375244,0.1413431167602539,4
energy-pair-0248,248,train,0,3,-8.901165962219238,-8.8036470413208,0.0975189208984375,4
energy-pair-0249,249,train,0,1,-5.702768325805664,-5.619417190551758,0.08335113525390625,4
energy-pair-0251,251,train,3,2,-5.612241744995117,-5.472574234008789,0.13966751098632812,4
energy-pair-0252,252,validation,3,1,-8.96272087097168,-8.849305152893066,0.11341571807861328,4
